 # The filling factors of cosmological HII/HeIII regions and the ensuing electron scattering optical depth
 #
 # The following 11 lines are model identification flags 
 # CUBA V6.3 Nov 2011
 # 0.1000E+01
 # 0.4000E+00 0.1300E+01 0.2000E+00 0.4400E+00 0.1570E+01 0.9000E+00
 # 0.1200E+06 0.1000E+05 0.5000E+04 0.1300E+04
 # 0.3000E+00 0.7000E+00 0.8900E-01 0.7000E+00
 # 0.1000E+01
 # Inputs/salp_SFRD1parfit.hiz.dat
 # Inputs/column_dist.dat
 # 0.1000E+01
 # 0.1800E-03 0.3400E+01
 # 0.1000E+02
 #
 # The following 3 lines are column identification labels
 # z=redshift, Q_HII=ionized hydrogen filling factor, Q_HeIII=doubly ionized helium filling factor,
 # tau_es= (HII+HeII+HeIII) electron scattering optical depth from z to infinity
 #   z         Q_HII     Q_HeIII    tau_es

 0.9550E+01 0.5555E+00 0.1561E-03 0.1864E-01
 0.9500E+01 0.5618E+00 0.1600E-03 0.1893E-01
 0.9450E+01 0.5680E+00 0.1640E-03 0.1922E-01
 0.9400E+01 0.5743E+00 0.1683E-03 0.1952E-01
 0.9350E+01 0.5808E+00 0.1745E-03 0.1982E-01
 0.9300E+01 0.5875E+00 0.1807E-03 0.2014E-01
 0.9250E+01 0.5941E+00 0.1868E-03 0.2046E-01
 0.9200E+01 0.6008E+00 0.1930E-03 0.2078E-01
 0.9150E+01 0.6074E+00 0.1992E-03 0.2110E-01
 0.9100E+01 0.6141E+00 0.2054E-03 0.2141E-01
 0.9050E+01 0.6208E+00 0.2116E-03 0.2173E-01
 0.9000E+01 0.6274E+00 0.2178E-03 0.2205E-01
 0.8950E+01 0.6341E+00 0.2248E-03 0.2237E-01
 0.8900E+01 0.6410E+00 0.2346E-03 0.2270E-01
 0.8850E+01 0.6480E+00 0.2445E-03 0.2304E-01
 0.8800E+01 0.6551E+00 0.2543E-03 0.2338E-01
 0.8750E+01 0.6621E+00 0.2642E-03 0.2372E-01
 0.8700E+01 0.6692E+00 0.2740E-03 0.2407E-01
 0.8650E+01 0.6762E+00 0.2839E-03 0.2441E-01
 0.8600E+01 0.6833E+00 0.2937E-03 0.2475E-01
 0.8550E+01 0.6903E+00 0.3056E-03 0.2509E-01
 0.8500E+01 0.6976E+00 0.3214E-03 0.2544E-01
 0.8450E+01 0.7050E+00 0.3372E-03 0.2580E-01
 0.8400E+01 0.7125E+00 0.3530E-03 0.2617E-01
 0.8350E+01 0.7200E+00 0.3689E-03 0.2653E-01
 0.8300E+01 0.7274E+00 0.3847E-03 0.2689E-01
 0.8250E+01 0.7349E+00 0.4005E-03 0.2725E-01
 0.8200E+01 0.7424E+00 0.4179E-03 0.2762E-01
 0.8150E+01 0.7500E+00 0.4433E-03 0.2799E-01
 0.8100E+01 0.7578E+00 0.4687E-03 0.2837E-01
 0.8050E+01 0.7657E+00 0.4942E-03 0.2875E-01
 0.8000E+01 0.7736E+00 0.5196E-03 0.2913E-01
 0.7950E+01 0.7814E+00 0.5451E-03 0.2951E-01
 0.7900E+01 0.7893E+00 0.5705E-03 0.2989E-01
 0.7850E+01 0.7971E+00 0.6039E-03 0.3027E-01
 0.7800E+01 0.8054E+00 0.6448E-03 0.3067E-01
 0.7750E+01 0.8136E+00 0.6856E-03 0.3106E-01
 0.7700E+01 0.8219E+00 0.7265E-03 0.3146E-01
 0.7650E+01 0.8302E+00 0.7673E-03 0.3186E-01
 0.7600E+01 0.8385E+00 0.8082E-03 0.3226E-01
 0.7550E+01 0.8468E+00 0.8606E-03 0.3266E-01
 0.7500E+01 0.8553E+00 0.9246E-03 0.3307E-01
 0.7450E+01 0.8640E+00 0.9887E-03 0.3348E-01
 0.7400E+01 0.8727E+00 0.1053E-02 0.3390E-01
 0.7350E+01 0.8814E+00 0.1117E-02 0.3431E-01
 0.7300E+01 0.8901E+00 0.1181E-02 0.3473E-01
 0.7250E+01 0.8988E+00 0.1278E-02 0.3514E-01
 0.7200E+01 0.9080E+00 0.1376E-02 0.3558E-01
 0.7150E+01 0.9172E+00 0.1474E-02 0.3601E-01
 0.7100E+01 0.9263E+00 0.1571E-02 0.3645E-01
 0.7050E+01 0.9355E+00 0.1669E-02 0.3688E-01
 0.7000E+01 0.9447E+00 0.1809E-02 0.3732E-01
 0.6950E+01 0.9542E+00 0.1955E-02 0.3776E-01
 0.6900E+01 0.9638E+00 0.2100E-02 0.3820E-01
 0.6850E+01 0.9734E+00 0.2246E-02 0.3865E-01
 0.6800E+01 0.9831E+00 0.2401E-02 0.3910E-01
 0.6750E+01 0.9927E+00 0.2614E-02 0.3954E-01
 0.6700E+01 0.1003E+01 0.2827E-02 0.3999E-01
 0.6650E+01 0.1013E+01 0.3040E-02 0.4044E-01
 0.6600E+01 0.1023E+01 0.3253E-02 0.4089E-01
 0.6550E+01 0.1033E+01 0.3536E-02 0.4134E-01
 0.6500E+01 0.1044E+01 0.3840E-02 0.4179E-01
 0.6450E+01 0.1054E+01 0.4143E-02 0.4224E-01
 0.6400E+01 0.1065E+01 0.4446E-02 0.4269E-01
 0.6350E+01 0.1075E+01 0.4822E-02 0.4314E-01
 0.6300E+01 0.1086E+01 0.5244E-02 0.4359E-01
 0.6250E+01 0.1097E+01 0.5665E-02 0.4403E-01
 0.6200E+01 0.1108E+01 0.6086E-02 0.4447E-01
 0.6150E+01 0.1119E+01 0.6621E-02 0.4491E-01
 0.6100E+01 0.1130E+01 0.7195E-02 0.4535E-01
 0.6050E+01 0.1142E+01 0.7769E-02 0.4578E-01
 0.6000E+01 0.1154E+01 0.8374E-02 0.4622E-01
 0.5950E+01 0.1166E+01 0.9145E-02 0.4666E-01
 0.5900E+01 0.1178E+01 0.9915E-02 0.4709E-01
 0.5850E+01 0.1190E+01 0.1069E-01 0.4752E-01
 0.5800E+01 0.1203E+01 0.1164E-01 0.4795E-01
 0.5750E+01 0.1215E+01 0.1265E-01 0.4837E-01
 0.5700E+01 0.1228E+01 0.1366E-01 0.4880E-01
 0.5650E+01 0.1241E+01 0.1482E-01 0.4922E-01
 0.5600E+01 0.1254E+01 0.1613E-01 0.4964E-01
 0.5550E+01 0.1267E+01 0.1743E-01 0.5007E-01
 0.5500E+01 0.1281E+01 0.1892E-01 0.5049E-01
 0.5450E+01 0.1294E+01 0.2056E-01 0.5091E-01
 0.5400E+01 0.1308E+01 0.2221E-01 0.5132E-01
 0.5350E+01 0.1323E+01 0.2414E-01 0.5173E-01
 0.5300E+01 0.1337E+01 0.2619E-01 0.5214E-01
 0.5250E+01 0.1352E+01 0.2825E-01 0.5255E-01
 0.5200E+01 0.1367E+01 0.3077E-01 0.5296E-01
 0.5150E+01 0.1383E+01 0.3331E-01 0.5337E-01
 0.5100E+01 0.1399E+01 0.3609E-01 0.5378E-01
 0.5050E+01 0.1415E+01 0.3920E-01 0.5419E-01
 0.5000E+01 0.1432E+01 0.4232E-01 0.5459E-01
 0.4950E+01 0.1449E+01 0.4603E-01 0.5499E-01
 0.4900E+01 0.1466E+01 0.4975E-01 0.5539E-01
 0.4850E+01 0.1484E+01 0.5393E-01 0.5579E-01
 0.4800E+01 0.1503E+01 0.5842E-01 0.5619E-01
 0.4750E+01 0.1522E+01 0.6319E-01 0.5658E-01
 0.4700E+01 0.1541E+01 0.6848E-01 0.5697E-01
 0.4650E+01 0.1561E+01 0.7396E-01 0.5737E-01
 0.4600E+01 0.1582E+01 0.8014E-01 0.5776E-01
 0.4550E+01 0.1604E+01 0.8652E-01 0.5815E-01
 0.4500E+01 0.1626E+01 0.9371E-01 0.5854E-01
 0.4450E+01 0.1648E+01 0.1011E+00 0.5892E-01
 0.4400E+01 0.1672E+01 0.1095E+00 0.5930E-01
 0.4350E+01 0.1697E+01 0.1183E+00 0.5968E-01
 0.4300E+01 0.1722E+01 0.1278E+00 0.6007E-01
 0.4250E+01 0.1749E+01 0.1380E+00 0.6045E-01
 0.4200E+01 0.1776E+01 0.1488E+00 0.6083E-01
 0.4150E+01 0.1805E+01 0.1606E+00 0.6120E-01
 0.4100E+01 0.1835E+01 0.1730E+00 0.6157E-01
 0.4050E+01 0.1867E+01 0.1867E+00 0.6195E-01
 0.4000E+01 0.1899E+01 0.2012E+00 0.6232E-01
 0.3950E+01 0.1933E+01 0.2165E+00 0.6268E-01
 0.3900E+01 0.1968E+01 0.2333E+00 0.6305E-01
 0.3850E+01 0.2005E+01 0.2511E+00 0.6342E-01
 0.3800E+01 0.2044E+01 0.2698E+00 0.6379E-01
 0.3750E+01 0.2085E+01 0.2902E+00 0.6415E-01
 0.3700E+01 0.2127E+01 0.3117E+00 0.6451E-01
 0.3650E+01 0.2172E+01 0.3344E+00 0.6487E-01
 0.3600E+01 0.2219E+01 0.3587E+00 0.6523E-01
 0.3550E+01 0.2268E+01 0.3852E+00 0.6559E-01
 0.3500E+01 0.2320E+01 0.4128E+00 0.6595E-01
 0.3450E+01 0.2374E+01 0.4420E+00 0.6631E-01
 0.3400E+01 0.2430E+01 0.4728E+00 0.6666E-01
 0.3350E+01 0.2489E+01 0.5051E+00 0.6700E-01
 0.3300E+01 0.2551E+01 0.5395E+00 0.6736E-01
 0.3250E+01 0.2616E+01 0.5759E+00 0.6771E-01
 0.3200E+01 0.2685E+01 0.6141E+00 0.6806E-01
 0.3150E+01 0.2757E+01 0.6541E+00 0.6841E-01
 0.3100E+01 0.2832E+01 0.6955E+00 0.6875E-01
